GISLINK,FOLIO,PID,LEGAL_TYPE,UNIT,HOUSE,STREET,combined,taxyear,assess_abbreviation,assess_type,land_gross,land_net,impr_gross,impr_net,Exemption,ObjectId
027-576-906,3239059,027-576-906,STRATA,1,66,MOSS ST,66 MOSS ST,2023,Residential,GENERAL,528000,528000,157000,157000,0,1
025-654-560,3239053,025-654-560,STRATA,2,76,MOSS ST,76 MOSS ST,2023,Residential,GENERAL,525000,525000,57000,57000,0,2
027-576-922,3239061,027-576-922,STRATA,3,66,MOSS ST,66 MOSS ST,2023,Residential,GENERAL,710000,710000,245000,245000,0,3
025-654-551,3239052,025-654-551,STRATA,1,76,MOSS ST,76 MOSS ST,2023,Residential,GENERAL,538000,538000,60300,60300,0,4
027-044-149,3242041,027-044-149,STRATA,,1522,DALLAS RD,1522 DALLAS RD,2023,Residential,GENERAL,1248000,1248000,554000,554000,0,5
V02461003,3246051,009-139-923,LAND,,198,OLIVE ST,198 OLIVE ST,2023,Residential,GENERAL,829000,829000,913000,913000,0,6
029-731-054,3253047,029-731-054,STRATA,,1233,MCKENZIE ST,1233 MCKENZIE ST,2023,Residential,GENERAL,929000,929000,418000,418000,0,7
026-287-684,3255035,026-287-684,STRATA,,12,BRIAR PL,12 BRIAR PL,2023,Residential,GENERAL,1435000,1435000,1689000,1689000,0,8
026-287-676,3255034,026-287-676,STRATA,,10,BRIAR PL,10 BRIAR PL,2023,Residential,GENERAL,1377000,1377000,1266000,1266000,0,9
026-817-489,3256015,026-817-489,STRATA,1,307,MOSS ST,307 MOSS ST,2023,Residential,GENERAL,703000,703000,76200,76200,0,10
026-809-079,3255036,026-809-079,STRATA,,3,BRIAR PL,3 BRIAR PL,2023,Residential,GENERAL,1173000,1173000,919000,919000,0,11
026-817-799,3256017,026-817-799,STRATA,3,307,MOSS ST,307 MOSS ST,2023,Residential,GENERAL,759000,759000,88500,88500,0,12
027-969-517,3260036,027-969-517,STRATA,,1458,THURLOW RD,1458 THURLOW RD,2023,Residential,GENERAL,889000,889000,581000,581000,0,13
026-817-781,3256016,026-817-781,STRATA,2,307,MOSS ST,307 MOSS ST,2023,Residential,GENERAL,760000,760000,89900,89900,0,14
