Roll Year,Jurisdiction,Neigh Code,Neigh Description,Situs Street Address,Situs City,Legal Description,First PID,Property Class,Property SubClass,Previous Roll Value,Actual Value Land Total,Actual Value Impr Total,Actual Value Total,Predominant Manual Class Code,Primary Actual Use Code
2024,Township of Esquimalt,307210,West Esquimalt, SEA,ESQUIMALT,"LOT 1, PLAN VIP5678, SECTION 11&32, ESQUIMALT LAND DISTRICT",005-979-064,08,,254000,284000,0,284000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,800 VIEWFIELD,ESQUIMALT,"LOT A, PLAN VIP19847, SECTION 11 & 32, ESQUIMALT LAND DISTRICT, (CITY PORTION 12-782-012)",001-510-126,06,,4879000,3763000,1767000,5530000,"C406 - Warehouse, Storage",273 - Storage & Warehousing (Closed)
2024,Township of Esquimalt,307210,West Esquimalt,1310 ESQUIMALT,ESQUIMALT,"LOT 1, PLAN EPP28097, ESQUIMALT LAND DISTRICT",029-072-883,06,,2700200,3127000,42300,3169300,C353 - Retail Store,215 - Food Market
2024,Township of Esquimalt,307220,Saxe Point,1010 WYCHBURY,ESQUIMALT,,009-290-371,06,,13762000,6211000,8860000,15071000,8000 - Non-Manualized Structures,"650 - Schools & Universities, College Or Technical Schools"
2024,Township of Esquimalt,307220,Saxe Point,1010 WYCHBURY,ESQUIMALT,,009-290-371,06,,13762000,6211000,8860000,15071000,8000 - Non-Manualized Structures,"650 - Schools & Universities, College Or Technical Schools"
2024,Township of Esquimalt,307220,Saxe Point,1010 WYCHBURY,ESQUIMALT,,009-290-371,06,,13762000,6211000,8860000,15071000,8000 - Non-Manualized Structures,"650 - Schools & Universities, College Or Technical Schools"
2024,Township of Esquimalt,307220,Saxe Point,1010 WYCHBURY,ESQUIMALT,"LOT 15, BLOCK 20, PLAN VIP195A, SECTION 11, ESQUIMALT LAND DISTRICT",009-290-371,06,,13762000,6211000,8860000,15071000,8000 - Non-Manualized Structures,"650 - Schools & Universities, College Or Technical Schools"
2024,Township of Esquimalt,307220,Saxe Point,1010 WYCHBURY,ESQUIMALT,"LOT 28, BLOCK 20, PLAN VIP195A, SECTION 11, ESQUIMALT LAND DISTRICT",009-290-443,06,,1786000,1992000,0,1992000,,"601 - Civic, Institutional & Recreational (Vacant)"
2024,Township of Esquimalt,307210,West Esquimalt,847 COLVILLE,ESQUIMALT,"LOT A, PLAN VIP13586, SECTION 10, ESQUIMALT LAND DISTRICT, EXCEPT PLAN VIP72764",004-817-672,06,,30376000,10431000,22852000,33283000,8000 - Non-Manualized Structures,"650 - Schools & Universities, College Or Technical Schools"
2024,Township of Esquimalt,307240,North Esquimalt,1250 HIGHROCK,ESQUIMALT,"LOT A, PLAN VIP15444, SECTION 10, ESQUIMALT LAND DISTRICT",004-135-130,06,,15963000,8277000,9184000,17461000,8000 - Non-Manualized Structures,"650 - Schools & Universities, College Or Technical Schools"
2024,Township of Esquimalt,307210,West Esquimalt,1200 ESQUIMALT,ESQUIMALT,,006-382-622,"06, 08",,1828400,2011000,26100,2037100,C900 - Paving - Asphalt,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,1200 ESQUIMALT,ESQUIMALT,"LOT 233, PLAN VIP2854, SUBURBAN LOT 40, ESQUIMALT LAND DISTRICT, & SUB LOT 41",006-382-622,"06, 08",,1828400,2011000,26100,2037100,C900 - Paving - Asphalt,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,1200 ESQUIMALT,ESQUIMALT,,006-382-622,"06, 08",,1828400,2011000,26100,2037100,C900 - Paving - Asphalt,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,1200 ESQUIMALT,ESQUIMALT,,006-382-622,"06, 08",,1828400,2011000,26100,2037100,C900 - Paving - Asphalt,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,1200 ESQUIMALT,ESQUIMALT,,006-382-622,"06, 08",,1828400,2011000,26100,2037100,C900 - Paving - Asphalt,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,1200 ESQUIMALT,ESQUIMALT,,006-382-622,"06, 08",,1828400,2011000,26100,2037100,C900 - Paving - Asphalt,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,1200 ESQUIMALT,ESQUIMALT,,006-382-622,"06, 08",,1828400,2011000,26100,2037100,C900 - Paving - Asphalt,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,1200 ESQUIMALT,ESQUIMALT,,006-382-622,"06, 08",,1828400,2011000,26100,2037100,C900 - Paving - Asphalt,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,1200 ESQUIMALT,ESQUIMALT,,006-382-622,"06, 08",,1828400,2011000,26100,2037100,C900 - Paving - Asphalt,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,1200 ESQUIMALT,ESQUIMALT,,006-382-622,"06, 08",,1828400,2011000,26100,2037100,C900 - Paving - Asphalt,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,1200 ESQUIMALT,ESQUIMALT,,006-382-622,"06, 08",,1828400,2011000,26100,2037100,C900 - Paving - Asphalt,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,1200 ESQUIMALT,ESQUIMALT,,006-382-622,"06, 08",,1828400,2011000,26100,2037100,C900 - Paving - Asphalt,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,1200 ESQUIMALT,ESQUIMALT,,006-382-622,"06, 08",,1828400,2011000,26100,2037100,C900 - Paving - Asphalt,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,1200 ESQUIMALT,ESQUIMALT,,006-382-622,"06, 08",,1828400,2011000,26100,2037100,C900 - Paving - Asphalt,610 - Parks & Playing Fields
2024,Township of Esquimalt,307240,North Esquimalt, FORSHAW,ESQUIMALT,"LOT 137, DISTRICT LOT 137, ESQUIMALT LAND DISTRICT, WATER LOT #137 ESQUIMALT DISTRICT, .024 HA MORE OR LESS FOR LOCAL/REGIONAL PARK, LEASE/PERMIT/LICENCE # 114210",,01,0101,193000,232000,0,232000,,"601 - Civic, Institutional & Recreational (Vacant)"
2024,Township of Esquimalt,307240,North Esquimalt, FORSHAW,ESQUIMALT,"LOT 137, DISTRICT LOT 137, ESQUIMALT LAND DISTRICT, WATER LOT #137 ESQUIMALT DISTRICT, .024 HA MORE OR LESS FOR LOCAL/REGIONAL PARK, LEASE/PERMIT/LICENCE # 114210",,01,0101,193000,232000,0,232000,,"601 - Civic, Institutional & Recreational (Vacant)"
2024,Township of Esquimalt,307220,Saxe Point,304 FRASER,ESQUIMALT,,009-289-500,08,,9936000,11053000,19000,11072000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307220,Saxe Point,304 FRASER,ESQUIMALT,,009-289-500,08,,9936000,11053000,19000,11072000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307220,Saxe Point,304 FRASER,ESQUIMALT,,009-289-500,08,,9936000,11053000,19000,11072000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307220,Saxe Point,304 FRASER,ESQUIMALT,,009-289-500,08,,9936000,11053000,19000,11072000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307220,Saxe Point,304 FRASER,ESQUIMALT,,009-289-500,08,,9936000,11053000,19000,11072000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307220,Saxe Point,304 FRASER,ESQUIMALT,,009-289-500,08,,9936000,11053000,19000,11072000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307220,Saxe Point,304 FRASER,ESQUIMALT,,009-289-500,08,,9936000,11053000,19000,11072000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307220,Saxe Point,304 FRASER,ESQUIMALT,"LOT 2, BLOCK 13, PLAN VIP195A, SECTION 11, ESQUIMALT LAND DISTRICT",009-289-500,08,,9936000,11053000,19000,11072000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307220,Saxe Point,304 FRASER,ESQUIMALT,,009-289-500,08,,9936000,11053000,19000,11072000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307220,Saxe Point,304 FRASER,ESQUIMALT,,009-289-500,08,,9936000,11053000,19000,11072000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307220,Saxe Point,304 FRASER,ESQUIMALT,,009-289-500,08,,9936000,11053000,19000,11072000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307220,Saxe Point,304 FRASER,ESQUIMALT,,009-289-500,08,,9936000,11053000,19000,11072000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307220,Saxe Point,304 FRASER,ESQUIMALT,,009-289-500,08,,9936000,11053000,19000,11072000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307220,Saxe Point,304 FRASER,ESQUIMALT,,009-289-500,08,,9936000,11053000,19000,11072000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307220,Saxe Point,304 FRASER,ESQUIMALT,,009-289-500,08,,9936000,11053000,19000,11072000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307220,Saxe Point,304 FRASER,ESQUIMALT,,009-289-500,08,,9936000,11053000,19000,11072000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307220,Saxe Point,304 FRASER,ESQUIMALT,,009-289-500,08,,9936000,11053000,19000,11072000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307240,North Esquimalt,1070 TILLICUM,ESQUIMALT,"DISTRICT LOT 139, ESQUIMALT LAND DISTRICT, LOCAL/REGIONAL PARK PURPOSES, 8.4 HA, LEASE/PERMIT/LICENCE # 113885",,08,,2386000,2655000,0,2655000,,610 - Parks & Playing Fields
