Roll Year,Jurisdiction,Neigh Code,Neigh Description,Situs Street Address,Situs City,Legal Description,First PID,Property Class,Predominant Manual Class Code,Primary Actual Use Code,Previous Roll Value,Actual Value Land Total,Actual Value Impr Total,Actual Value Total
2025,Township of Esquimalt,307210,West Esquimalt, SEA,ESQUIMALT,"LOT 1, PLAN VIP5678, SECTION 11&32, ESQUIMALT LAND DISTRICT",005-979-064,08,,610 - Parks & Playing Fields,284000,313000,0,313000
2025,Township of Esquimalt,307210,West Esquimalt,800 VIEWFIELD,ESQUIMALT,"LOT A, PLAN VIP19847, SECTION 11 & 32, ESQUIMALT LAND DISTRICT, (CITY PORTION 12-782-012)",001-510-126,06,"C406 - Warehouse, Storage",273 - Storage & Warehousing (Closed),5530000,3763000,1490000,5253000
2025,Township of Esquimalt,307210,West Esquimalt,1310 ESQUIMALT,ESQUIMALT,"LOT 1, PLAN EPP28097, ESQUIMALT LAND DISTRICT",029-072-883,06,C353 - Retail Store,215 - Food Market,3169300,3127000,42900,3169900
2025,Township of Esquimalt,307220,Saxe Point,1010 WYCHBURY,ESQUIMALT,,009-290-371,06,8000 - Non-Manualized Structures,"650 - Schools & Universities, College Or Technical Schools",15071000,6211000,9599000,15810000
2025,Township of Esquimalt,307220,Saxe Point,1010 WYCHBURY,ESQUIMALT,"LOT 15, BLOCK 20, PLAN VIP195A, SECTION 11, ESQUIMALT LAND DISTRICT",009-290-371,06,8000 - Non-Manualized Structures,"650 - Schools & Universities, College Or Technical Schools",15071000,6211000,9599000,15810000
2025,Township of Esquimalt,307220,Saxe Point,1010 WYCHBURY,ESQUIMALT,,009-290-371,06,8000 - Non-Manualized Structures,"650 - Schools & Universities, College Or Technical Schools",15071000,6211000,9599000,15810000
2025,Township of Esquimalt,307220,Saxe Point,1010 WYCHBURY,ESQUIMALT,,009-290-371,06,8000 - Non-Manualized Structures,"650 - Schools & Universities, College Or Technical Schools",15071000,6211000,9599000,15810000
2025,Township of Esquimalt,307220,Saxe Point,1010 WYCHBURY,ESQUIMALT,"LOT 28, BLOCK 20, PLAN VIP195A, SECTION 11, ESQUIMALT LAND DISTRICT",009-290-443,06,,"601 - Civic, Institutional & Recreational (Vacant)",1992000,2197000,0,2197000
2025,Township of Esquimalt,307210,West Esquimalt,847 COLVILLE,ESQUIMALT,"LOT A, PLAN VIP13586, SECTION 10, ESQUIMALT LAND DISTRICT, EXCEPT PLAN VIP72764",004-817-672,06,8000 - Non-Manualized Structures,"650 - Schools & Universities, College Or Technical Schools",33283000,10431000,24887000,35318000
2025,Township of Esquimalt,307240,North Esquimalt,1250 HIGHROCK,ESQUIMALT,"LOT A, PLAN VIP15444, SECTION 10, ESQUIMALT LAND DISTRICT",004-135-130,06,8000 - Non-Manualized Structures,"650 - Schools & Universities, College Or Technical Schools",17461000,8277000,9958000,18235000
