GISLINK,FOLIO,PID,LEGAL_TYPE,UNIT,HOUSE,STREET,taxyear,assess_abbreviation,assess_type,land_gross,land_net,impr_gross,impr_net,Exemption,ObjectId
10712030,10712030,017-220-327,LAND,,577,DAVID ST,2025,Business,GENERAL,917000,917000,0,0,0,1
10712030,10712030,017-220-327,LAND,,577,DAVID ST,2025,Utilities,GENERAL,0,0,17900,17900,0,2
10712030,10712030,017-220-327,LAND,,577,DAVID ST,2025,Business,SCHOOL,917000,917000,0,0,0,3
10712030,10712030,017-220-327,LAND,,577,DAVID ST,2025,Utilities,SCHOOL,0,0,17900,17900,0,4
10712031,10712031,017-220-335,LAND,,2740,ROCK BAY AVE,2025,Business,GENERAL,963000,963000,574000,564000,10000,5
10712031,10712031,017-220-335,LAND,,2740,ROCK BAY AVE,2025,Business,SCHOOL,963000,963000,574000,564000,10000,6
10712032,10712032,017-455-537,LAND,,2745,BRIDGE ST,2025,Business,GENERAL,3942000,3942000,2237000,2227000,10000,7
10712032,10712032,017-455-537,LAND,,2745,BRIDGE ST,2025,Business,SCHOOL,3942000,3942000,2237000,2227000,10000,8
10712033,10712033,017-519-021,LAND,,562,HILLSIDE AVE,2025,Business,GENERAL,2457000,2457000,2013000,2003000,10000,9
10712033,10712033,017-519-021,LAND,,562,HILLSIDE AVE,2025,Business,SCHOOL,2457000,2457000,2013000,2003000,10000,10
018-269-877,10712035,018-269-877,STRATA,1,576,HILLSIDE AVE,2025,Business,GENERAL,411000,411000,150000,140000,10000,11
018-269-877,10712035,018-269-877,STRATA,1,576,HILLSIDE AVE,2025,Business,SCHOOL,411000,411000,150000,140000,10000,12
018-269-885,10712036,018-269-885,STRATA,2,576,HILLSIDE AVE,2025,Business,GENERAL,372000,372000,181000,171000,10000,13
018-269-885,10712036,018-269-885,STRATA,2,576,HILLSIDE AVE,2025,Business,SCHOOL,372000,372000,181000,171000,10000,14
018-269-893,10712037,018-269-893,STRATA,3,576,HILLSIDE AVE,2025,Business,GENERAL,384000,384000,169000,159000,10000,15
018-269-893,10712037,018-269-893,STRATA,3,576,HILLSIDE AVE,2025,Business,SCHOOL,384000,384000,169000,159000,10000,16
018-269-907,10712038,018-269-907,STRATA,4,576,HILLSIDE AVE,2025,Business,GENERAL,371000,371000,166000,156000,10000,17
018-269-907,10712038,018-269-907,STRATA,4,576,HILLSIDE AVE,2025,Business,SCHOOL,371000,371000,166000,156000,10000,18
018-269-915,10712039,018-269-915,STRATA,5,576,HILLSIDE AVE,2025,Business,GENERAL,478000,478000,194000,184000,10000,19
018-269-915,10712039,018-269-915,STRATA,5,576,HILLSIDE AVE,2025,Business,SCHOOL,478000,478000,194000,184000,10000,20
10713002,10713002,002-434-466,LAND,,543,HILLSIDE AVE,2025,Light Ind,GENERAL,5224000,5224000,5199000,5189000,10000,21
10713002,10713002,002-434-466,LAND,,543,HILLSIDE AVE,2025,Light Ind,SCHOOL,5224000,5224000,5199000,5189000,10000,22
10713003,10713003,009-328-157,LAND,,553,HILLSIDE AVE,2025,Business,GENERAL,1221000,1221000,1095000,1085000,10000,23
10713003,10713003,009-328-157,LAND,,553,HILLSIDE AVE,2025,Business,SCHOOL,1221000,1221000,1095000,1085000,10000,24
10710008,10710008,007-700-105,LAND,,534,ELLICE ST,2025,Business,GENERAL,1213000,1213000,0,0,0,25
10713004,10713004,004-788-630,LAND,,555,HILLSIDE AVE,2025,Business,GENERAL,571000,571000,850000,840000,10000,26
10713004,10713004,004-788-630,LAND,,555,HILLSIDE AVE,2025,Business,SCHOOL,571000,571000,850000,840000,10000,27
10713007,10713007,009-328-271,LAND,,569,HILLSIDE AVE,2025,Business,GENERAL,1224000,1224000,120000,110000,10000,28
10713007,10713007,009-328-271,LAND,,569,HILLSIDE AVE,2025,Business,SCHOOL,1224000,1224000,120000,110000,10000,29
10713008,10713008,009-329-048,LAND,,575,HILLSIDE AVE,2025,Business,GENERAL,1224000,1224000,107000,97000,10000,30
10713008,10713008,009-329-048,LAND,,575,HILLSIDE AVE,2025,Business,SCHOOL,1224000,1224000,107000,97000,10000,31
10710008,10710008,007-700-105,LAND,,534,ELLICE ST,2025,Business,SCHOOL,1213000,1213000,0,0,0,32
10710009,10710009,007-700-318,LAND,,526,ELLICE ST,2025,Business,GENERAL,1213000,1213000,0,0,0,33
10713009,10713009,009-328-505,LAND,,597,HILLSIDE AVE,2025,Business,GENERAL,1285000,1285000,50400,40400,10000,34
10713009,10713009,009-328-505,LAND,,597,HILLSIDE AVE,2025,Business,SCHOOL,1285000,1285000,50400,40400,10000,35
10710009,10710009,007-700-318,LAND,,526,ELLICE ST,2025,Business,SCHOOL,1213000,1213000,0,0,0,36
10710010,10710010,007-700-431,LAND,,518,ELLICE ST,2025,Business,GENERAL,1213000,1213000,5300,0,5300,37
